Domain Name,Price,Category,TLD,Length,URL
10000.bot,3750,bot,bot,5,https://10000.bot
10002.xrp,3750,xrp,xrp,5,https://10002.xrp
10k.bot,3750,bot,bot,3,https://10k.bot
18.bot,3750,bot,bot,2,https://18.bot
1800.bot,3750,bot,bot,4,https://1800.bot
2FA.ad,3750,ad,ad,3,https://2FA.ad
2FA.brave,500,brave,brave,3,https://2FA.brave
Abstain.ai,29888,ai,ai,7,https://Abstain.ai
Adblock.tel,3750,tel,tel,7,https://Adblock.tel
Aerial.si,3750,si,si,6,https://Aerial.si
Aftermarket.agt,3750,agt,agt,11,https://Aftermarket.agt
AgentFinder.co,3750,co,co,11,https://AgentFinder.co
Agentic.xrp,3750,xrp,xrp,7,https://Agentic.xrp
AgenticBroker.x,3750,x,x,13,https://AgenticBroker.x
AgenticCode.com,3750,com,com,11,https://AgenticCode.com
AgenticDeal.com,3750,com,com,11,https://AgenticDeal.com
AgenticElection.com,3750,com,com,15,https://AgenticElection.com
AgenticGigs.com,3750,com,com,11,https://AgenticGigs.com
AgenticJob.com,3750,com,com,10,https://AgenticJob.com
AgentRent.com,3750,com,com,9,https://AgentRent.com
Agreement.agt,3750,agt,agt,9,https://Agreement.agt
AI.b2b,3750,b2b,b2b,2,https://AI.b2b
AI.performer,3750,performer,performer,2,https://AI.performer
AI.presenter,3750,presenter,presenter,2,https://AI.presenter
AI.prices,3750,prices,prices,2,https://AI.prices
AI.rust,3750,rust,rust,2,https://AI.rust
AI.universe,3750,universe,universe,2,https://AI.universe
AIBiz.dev,3750,dev,dev,5,https://AIBiz.dev
AIbudgeter.com,1100,com,com,10,https://AIbudgeter.com
AIDataEthics.org,3750,org,org,12,https://AIDataEthics.org
AIdesops.com,1100,com,com,8,https://AIdesops.com
AIdezops.com,1100,com,com,8,https://AIdezops.com
AIdiscs.com,1100,com,com,7,https://AIdiscs.com
AIfinancialaudit.com,1100,com,com,16,https://AIfinancialaudit.com
AIflowcharts.com,1100,com,com,12,https://AIflowcharts.com
AIfurlough.com,1100,com,com,10,https://AIfurlough.com
AIjunkmail.com,1100,com,com,10,https://AIjunkmail.com
AIlabeler.com,1100,com,com,9,https://AIlabeler.com
AIlabeler.info,1100,info,info,9,https://AIlabeler.info
AIlabeler.net,1100,net,net,9,https://AIlabeler.net
AIlabeler.online,1100,online,online,9,https://AIlabeler.online
AIlabeler.org,1100,org,org,9,https://AIlabeler.org
AIlabeler.pro,1100,pro,pro,9,https://AIlabeler.pro
AIlabeler.tech,1100,tech,tech,9,https://AIlabeler.tech
AIlabeler.xyz,1100,xyz,xyz,9,https://AIlabeler.xyz
AIlabelmaker.com,1100,com,com,12,https://AIlabelmaker.com
AIlayoff.com,1100,com,com,8,https://AIlayoff.com
AInotarer.com,1100,com,com,9,https://AInotarer.com
AIoutboundleads.com,1100,com,com,15,https://AIoutboundleads.com
AIoutboundsales.com,1100,com,com,15,https://AIoutboundsales.com
AIpeopleoperations.com,1100,com,com,18,https://AIpeopleoperations.com
AIpeopleops.com,1100,com,com,11,https://AIpeopleops.com
AIprorate.com,1100,com,com,9,https://AIprorate.com
AISkillsTraining.co,1100,co,co,16,https://AISkillsTraining.co
AIuidev.com,1100,com,com,7,https://AIuidev.com
AIuiengineer.com,1100,com,com,12,https://AIuiengineer.com
AIuiengineering.com,1100,com,com,15,https://AIuiengineering.com
AIuserflows.com,1100,com,com,11,https://AIuserflows.com
AIUXengineer.com,1100,com,com,12,https://AIUXengineer.com
AIUXengineering.com,1100,com,com,15,https://AIUXengineering.com
Alert.wave,1100,wave,wave,5,https://Alert.wave
Almanac.si,3750,si,si,7,https://Almanac.si
ALotOfBots.com,1100,com,com,10,https://ALotOfBots.com
Alpha.wave,1100,wave,wave,5,https://Alpha.wave
Amen.cx,777,cx,cx,4,https://Amen.cx
Announce.bot,5888,bot,bot,8,https://Announce.bot
Antarctic.xrp,3750,xrp,xrp,9,https://Antarctic.xrp
Appraisal.agt,3750,agt,agt,9,https://Appraisal.agt
Approve.xrp,3750,xrp,xrp,7,https://Approve.xrp
