domainName,price,category,tld
18.bot,1000000,bot,bot
abstain.ai,1300,ai,ai
adblock.tel,2500,tel,tel
agenticcode.com,2500,agent,com
agenticdeal.com,2500,agent,com
agenticjob.com,2500,agent,com
ai.b2b,1000000,ai,b2b
ai.performer,1000000,ai,performer
ai.presenter,1000000,ai,presenter
ai.prices,1000000,ai,prices
ai.rust,1000000,ai,rust
ai.universe,1000000,ai,universe
aibudgeter.com,9000,aicom,com
aidesops.com,9000,aicom,com
aidezops.com,9000,aicom,com
aidiscs.com,9000,aicom,com
aifinancialaudit.com,9000,aicom,com
aiflowcharts.com,9000,aicom,com
aifurlough.com,9000,aicom,com
aijunkmail.com,9000,aicom,com
ailabeler.com,9000,aicom,com
ailabeler.online,9000,aicom,online
ailabeler.xyz,9000,aicom,xyz
ailabelmaker.com,9000,aicom,com
ailayoff.com,9000,aicom,com
ainotarer.com,9000,aicom,com
aioutboundleads.com,9000,aicom,com
aioutboundsales.com,9000,aicom,com
aipeopleoperations.com,9000,aicom,com
aipeopleops.com,9000,aicom,com
aiprorate.com,9000,aicom,com
aiuidev.com,9000,aicom,com
aiuiengineer.com,9000,aicom,com
aiuiengineering.com,9000,aicom,com
aiuserflows.com,9000,aicom,com
aiuxengineer.com,9000,aicom,com
aiuxengineering.com,9000,aicom,com
alert.wave,9000,wave,wave
alotofbots.com,9000,botcom,com
alpha.wave,9000,wave,wave
amen.cx,9000,religion,cx
arthroplast.com,9000,occupation,com
atticagent.com,9000,agent,com
backlogagent.com,9000,agent,com
basementagent.com,9000,agent,com
basket.bot,9000,bot,bot
bay.bot,65000,bot,bot
bci.api,65000,brain,api
bci.software,65000,brain,software
bci.studio,65000,brain,studio
bci.xr,65000,brain,xr
bedroomagent.com,9000,agent,com
bible.api,24000,religion,api
bible.guidance,6000,religion,guidance
bible.notes,6000,religion,notes
bible.pal,6000,religion,pal
binge.tel,650,tel,tel
blacktop.bot,650,bot,bot
border.bot,65000,bot,bot
bot.api,1000000,bot,api
bot.notes,100000,bot,notes
botpen.ai,6000,ai,ai
botpen.co,2500,bot,co
brain.api,1000000,brain,api
brainstorm.tel,9000,brain,tel
brave.tel,9000,tel,tel
browband.co,9000,,co
browband.tech,9000,,tech
browse.tel,9000,tel,tel
commentagent.com,9000,agent,com
ctrlbrain.com,9000,brain,com
data.api,1000000,api,api
dearlord.ai,9000,religion,ai
dearlord.co,2500,religion,co
distances.ai,9000,ai,ai
drivethru.bot,65000,bot,bot
dub.bot,65000,bot,bot
eegstream.com,9000,brain,com
else.bot,65000,bot,bot
embed.tel,9000,tel,tel
erase.tel,9000,tel,tel
facial.bot,65000,bot,bot
financialaudit.ai,24000,ai,ai
flood.bot,9000,bot,bot
focus.tel,9000,tel,tel
focus.wave,9000,wave,wave
grok25.com,9000,bot,com
grok26.com,9000,bot,com
gutter.bot,13000,bot,bot
impeach.ai,24000,political,ai
inventorytracking.ai,24000,ai,ai
jesus.api,24000,religion,api
jesus.follow,24000,religion,follow
labservices.ai,24000,ai,ai
landscape.bot,9000,bot,bot
lotobots.com,9000,botcom,com
lottabots.com,9000,botcom,com
maticgems.vip,9000,crypto,vip
menu.beer,9000,food,beer
menuagent.com,9000,agent,com
mind.wave,65000,wave,wave
mrsbad.com,9000,adult,com
muse.api,9000,brain,api
neura.tel,65000,brain,tel
neuro.api,1000000,brain,api
neuro.wave,65000,brain,wave
nlink.tel,65000,brain,tel
notify.tel,9000,tel,tel
o.damn,9000,L,damn
oir.ai,65000,ai,ai
open.src,1000000,code,src
p.wave,65000,wave,wave
pause.tel,9000,tel,tel
poopy.domains,2500,misc,domains
porj.ai,24000,adult,ai
porm.ai,24000,adult,ai
propaganda.bot,9000,political,bot
prorate.ai,24000,ai,ai
quan.bot,9000,ai,bot
reflect.tel,9000,tel,tel
replace.tel,9000,tel,tel
rerun.events,9000,misc,events
reticle.tel,9000,tel,tel
rewind.tel,9000,tel,tel
rivernorthagent.com,9000,agent,com
robotjury.com,9000,botcom,com
sailor.bot,9000,bot,bot
savemore.ai,9000,ai,ai
semi.bot,26000,bot,bot
setting.bot,9000,bot,bot
shake.tel,9000,tel,tel
shpp.ing,9000,ecommerce,ing
signaldata.ai,24000,ai,ai
spacerace.ai,24000,ai,ai
speaker.tel,9000,tel,tel
speakernotes.ai,24000,ai,ai
spend.tel,9000,tel,tel
sprinkle.bot,9000,bot,bot
stroller.bot,9000,bot,bot
summon.tel,9000,tel,tel
supergrok.xyz,9000,crypto,xyz
superior.bot,9000,bot,bot
supervisor.bot,24000,bot,bot
telbar.xyz,650,brain,xyz
telepathic.dev,9000,brain,dev
thru.bot,24000,bot,bot
timer.tel,9000,tel,tel
transplant.bot,9000,bot,bot
under.bot,9000,bot,bot
unw.ai,65000,ai,ai
uwl.ai,65000,ai,ai
valley.bot,9000,bot,bot
veto.bot,9000,bot,bot
vocal.tel,9000,tel,tel
voicemailagent.com,24000,agent,com
volume.tel,9000,tel,tel
vrbci.dev,9000,brain,dev
wholesaledeals.ai,24000,ai,ai
wireframe.bot,24000,bot,bot
yor.cash,2500,crypto,cash
yor.exchange,2500,crypto,exchange
mutant.si,2500,si,si
objective.si,2500,si,si
wait.si,2500,si,si
omit.si,2500,si,si
voto.si,2500,si,si
kitty.si,2500,si,si
unplug.si,2500,si,si
ivory.si,2500,si,si
estoy.si,2500,si,si
nigeria.si,2500,si,si
soviet.si,2500,si,si
harris.si,2500,si,si
gavin.si,2500,si,si
newsom.si,2500,si,si
usdc.si,2500,si,si
CleanEnergy.si,2500,si,si
ClimateChange.si,2500,si,si
Eastern.si,2500,si,si
Freight.si,2500,si,si
Pacific.si,2500,si,si
Hunger.si,2500,si,si
Colony.si,2500,si,si
Aerial.si,2500,si,si
Question.si,2500,si,si
Origin.si,2500,si,si
Inject.si,2500,si,si
Pick.si,2500,si,si
Defensive.si,2500,si,si
Chief.si,2500,si,si
Order.si,2500,si,si
Ethics.si,2500,si,si
Treaty.si,2500,si,si
Devil.si,2500,si,si
Seattle.si,2500,si,si
Chicago.si,2500,si,si
Fail.si,2500,si,si
Horse.si,2500,si,si
Beast.si,2500,si,si
Fear.si,2500,si,si
Hear.si,2500,si,si
Obey.si,2500,si,si
Govt.si,2500,si,si
Quan.si,2500,si,si
Telepathic.si,2500,si,si
Telepathy.si,2500,si,si
Telepath.si,2500,si,si
Nuclear.si,2500,si,si
